,Variable,Var_Dataframe,Var_Description
158,PREV_HOUR_APPR_PROCESS_START_MAX,All previous applications for Home Credit loans of clients.,Approximately at what hour did the client apply for the loan
159,PREV_HOUR_APPR_PROCESS_START_MEAN,All previous applications for Home Credit loans of clients.,Approximately at what hour did the client apply for the loan
160,PREV_DAYS_DECISION_MIN,All previous applications for Home Credit loans of clients.,Relative to current application when was the decision about previous application made
161,PREV_DAYS_DECISION_MAX,All previous applications for Home Credit loans of clients.,Relative to current application when was the decision about previous application made
162,PREV_DAYS_DECISION_MEAN,All previous applications for Home Credit loans of clients.,Relative to current application when was the decision about previous application made
163,PREV_CNT_PAYMENT_MEAN,All previous applications for Home Credit loans of clients.,Term of previous credit at application of the previous application
164,PREV_CNT_PAYMENT_SUM,All previous applications for Home Credit loans of clients.,Term of previous credit at application of the previous application
165,PREV_APP_CREDIT_PERC_MIN,All previous applications for Home Credit loans of clients.,Term of previous credit at application of the previous application
166,PREV_APP_CREDIT_PERC_MAX,All previous applications for Home Credit loans of clients.,Term of previous credit at application of the previous application
167,PREV_APP_CREDIT_PERC_MEAN,All previous applications for Home Credit loans of clients.,Term of previous credit at application of the previous application
168,PREV_APP_CREDIT_PERC_VAR,All previous applications for Home Credit loans of clients.,Term of previous credit at application of the previous application
169,PREV_LTV_RATIO_MIN,All previous applications for Home Credit loans of clients.,Term of previous credit at application of the previous application
170,PREV_LTV_RATIO_MAX,All previous applications for Home Credit loans of clients.,Term of previous credit at application of the previous application
171,PREV_LTV_RATIO_MEAN,All previous applications for Home Credit loans of clients.,Term of previous credit at application of the previous application
172,PREV_LTV_RATIO_VAR,All previous applications for Home Credit loans of clients.,Term of previous credit at application of the previous application
173,APPROVED_AMT_ANNUITY_MIN,(approved applications) All previous applications for Home Credit loans of clients.,Loan annuity
174,APPROVED_AMT_ANNUITY_MAX,(approved applications) All previous applications for Home Credit loans of clients.,Loan annuity
175,APPROVED_AMT_ANNUITY_MEAN,(approved applications) All previous applications for Home Credit loans of clients.,Loan annuity
176,APPROVED_AMT_APPLICATION_MIN,(approved applications) All previous applications for Home Credit loans of clients.,For how much credit did client ask on the previous application
177,APPROVED_AMT_APPLICATION_MAX,(approved applications) All previous applications for Home Credit loans of clients.,For how much credit did client ask on the previous application
178,APPROVED_AMT_APPLICATION_MEAN,(approved applications) All previous applications for Home Credit loans of clients.,For how much credit did client ask on the previous application
179,APPROVED_AMT_CREDIT_MIN,(approved applications) All previous applications for Home Credit loans of clients.,Credit amount of the loan
180,APPROVED_AMT_CREDIT_MAX,(approved applications) All previous applications for Home Credit loans of clients.,Credit amount of the loan
181,APPROVED_AMT_CREDIT_MEAN,(approved applications) All previous applications for Home Credit loans of clients.,Credit amount of the loan
182,APPROVED_AMT_DOWN_PAYMENT_MIN,(approved applications) All previous applications for Home Credit loans of clients.,Down payment on the previous application
183,APPROVED_AMT_DOWN_PAYMENT_MAX,(approved applications) All previous applications for Home Credit loans of clients.,Down payment on the previous application
184,APPROVED_AMT_DOWN_PAYMENT_MEAN,(approved applications) All previous applications for Home Credit loans of clients.,Down payment on the previous application
185,APPROVED_AMT_GOODS_PRICE_MIN,(approved applications) All previous applications for Home Credit loans of clients.,For consumer loans it is the price of the goods for which the loan is given
186,APPROVED_AMT_GOODS_PRICE_MAX,(approved applications) All previous applications for Home Credit loans of clients.,For consumer loans it is the price of the goods for which the loan is given
187,APPROVED_AMT_GOODS_PRICE_MEAN,(approved applications) All previous applications for Home Credit loans of clients.,For consumer loans it is the price of the goods for which the loan is given
188,APPROVED_HOUR_APPR_PROCESS_START_MIN,(approved applications) All previous applications for Home Credit loans of clients.,Approximately at what hour did the client apply for the loan
189,APPROVED_HOUR_APPR_PROCESS_START_MAX,(approved applications) All previous applications for Home Credit loans of clients.,Approximately at what hour did the client apply for the loan
190,APPROVED_HOUR_APPR_PROCESS_START_MEAN,(approved applications) All previous applications for Home Credit loans of clients.,Approximately at what hour did the client apply for the loan
191,APPROVED_DAYS_DECISION_MIN,(approved applications) All previous applications for Home Credit loans of clients.,Relative to current application when was the decision about previous application made
192,APPROVED_DAYS_DECISION_MAX,(approved applications) All previous applications for Home Credit loans of clients.,Relative to current application when was the decision about previous application made
193,APPROVED_DAYS_DECISION_MEAN,(approved applications) All previous applications for Home Credit loans of clients.,Relative to current application when was the decision about previous application made
194,APPROVED_CNT_PAYMENT_MEAN,(approved applications) All previous applications for Home Credit loans of clients.,Term of previous credit at application of the previous application
195,APPROVED_CNT_PAYMENT_SUM,(approved applications) All previous applications for Home Credit loans of clients.,Term of previous credit at application of the previous application
196,APPROVED_APP_CREDIT_PERC_MIN,(approved applications) All previous applications for Home Credit loans of clients.,Term of previous credit at application of the previous application
197,APPROVED_APP_CREDIT_PERC_MAX,(approved applications) All previous applications for Home Credit loans of clients.,Term of previous credit at application of the previous application
198,APPROVED_APP_CREDIT_PERC_MEAN,(approved applications) All previous applications for Home Credit loans of clients.,Term of previous credit at application of the previous application
199,APPROVED_APP_CREDIT_PERC_VAR,(approved applications) All previous applications for Home Credit loans of clients.,Term of previous credit at application of the previous application
200,APPROVED_LTV_RATIO_MIN,(approved applications) All previous applications for Home Credit loans of clients.,Term of previous credit at application of the previous application
201,APPROVED_LTV_RATIO_MAX,(approved applications) All previous applications for Home Credit loans of clients.,Term of previous credit at application of the previous application
202,APPROVED_LTV_RATIO_MEAN,(approved applications) All previous applications for Home Credit loans of clients.,Term of previous credit at application of the previous application
203,APPROVED_LTV_RATIO_VAR,(approved applications) All previous applications for Home Credit loans of clients.,Term of previous credit at application of the previous application
204,REFUSED_AMT_ANNUITY_MIN,(refused applications) All previous applications for Home Credit loans of clients.,Loan annuity
205,REFUSED_AMT_ANNUITY_MAX,(refused applications) All previous applications for Home Credit loans of clients.,Loan annuity
206,REFUSED_AMT_ANNUITY_MEAN,(refused applications) All previous applications for Home Credit loans of clients.,Loan annuity
207,REFUSED_AMT_APPLICATION_MIN,(refused applications) All previous applications for Home Credit loans of clients.,For how much credit did client ask on the previous application
208,REFUSED_AMT_APPLICATION_MAX,(refused applications) All previous applications for Home Credit loans of clients.,For how much credit did client ask on the previous application
209,REFUSED_AMT_APPLICATION_MEAN,(refused applications) All previous applications for Home Credit loans of clients.,For how much credit did client ask on the previous application
210,REFUSED_AMT_CREDIT_MIN,(refused applications) All previous applications for Home Credit loans of clients.,Credit amount of the loan
211,REFUSED_AMT_CREDIT_MAX,(refused applications) All previous applications for Home Credit loans of clients.,Credit amount of the loan
212,REFUSED_AMT_CREDIT_MEAN,(refused applications) All previous applications for Home Credit loans of clients.,Credit amount of the loan
213,REFUSED_AMT_DOWN_PAYMENT_MIN,(refused applications) All previous applications for Home Credit loans of clients.,Down payment on the previous application
214,REFUSED_AMT_DOWN_PAYMENT_MAX,(refused applications) All previous applications for Home Credit loans of clients.,Down payment on the previous application
215,REFUSED_AMT_DOWN_PAYMENT_MEAN,(refused applications) All previous applications for Home Credit loans of clients.,Down payment on the previous application
216,REFUSED_AMT_GOODS_PRICE_MIN,(refused applications) All previous applications for Home Credit loans of clients.,For consumer loans it is the price of the goods for which the loan is given
217,REFUSED_AMT_GOODS_PRICE_MAX,(refused applications) All previous applications for Home Credit loans of clients.,For consumer loans it is the price of the goods for which the loan is given
218,REFUSED_AMT_GOODS_PRICE_MEAN,(refused applications) All previous applications for Home Credit loans of clients.,For consumer loans it is the price of the goods for which the loan is given
219,REFUSED_HOUR_APPR_PROCESS_START_MIN,(refused applications) All previous applications for Home Credit loans of clients.,Approximately at what hour did the client apply for the loan
220,REFUSED_HOUR_APPR_PROCESS_START_MAX,(refused applications) All previous applications for Home Credit loans of clients.,Approximately at what hour did the client apply for the loan
221,REFUSED_HOUR_APPR_PROCESS_START_MEAN,(refused applications) All previous applications for Home Credit loans of clients.,Approximately at what hour did the client apply for the loan
222,REFUSED_DAYS_DECISION_MIN,(refused applications) All previous applications for Home Credit loans of clients.,Relative to current application when was the decision about previous application made
223,REFUSED_DAYS_DECISION_MAX,(refused applications) All previous applications for Home Credit loans of clients.,Relative to current application when was the decision about previous application made
224,REFUSED_DAYS_DECISION_MEAN,(refused applications) All previous applications for Home Credit loans of clients.,Relative to current application when was the decision about previous application made
225,REFUSED_CNT_PAYMENT_MEAN,(refused applications) All previous applications for Home Credit loans of clients.,Term of previous credit at application of the previous application
226,REFUSED_CNT_PAYMENT_SUM,(refused applications) All previous applications for Home Credit loans of clients.,Term of previous credit at application of the previous application
227,REFUSED_APP_CREDIT_PERC_MIN,(refused applications) All previous applications for Home Credit loans of clients.,Term of previous credit at application of the previous application
228,REFUSED_APP_CREDIT_PERC_MAX,(refused applications) All previous applications for Home Credit loans of clients.,Term of previous credit at application of the previous application
229,REFUSED_APP_CREDIT_PERC_MEAN,(refused applications) All previous applications for Home Credit loans of clients.,Term of previous credit at application of the previous application
230,REFUSED_APP_CREDIT_PERC_VAR,(refused applications) All previous applications for Home Credit loans of clients.,Term of previous credit at application of the previous application
231,REFUSED_LTV_RATIO_MIN,(refused applications) All previous applications for Home Credit loans of clients.,Term of previous credit at application of the previous application
232,REFUSED_LTV_RATIO_MAX,(refused applications) All previous applications for Home Credit loans of clients.,Term of previous credit at application of the previous application
233,REFUSED_LTV_RATIO_MEAN,(refused applications) All previous applications for Home Credit loans of clients.,Term of previous credit at application of the previous application
234,REFUSED_LTV_RATIO_VAR,(refused applications) All previous applications for Home Credit loans of clients.,Term of previous credit at application of the previous application
235,PREV_NFLAG_LAST_APPL_IN_DAY_MODE,All previous applications for Home Credit loans of clients.,Flag if the application was the last application per day of the client. Sometimes clients apply for more applications a day. Rarely it could also be error in our system that one application is in the database twice
236,CC_MONTHS_BALANCE_MAX,Monthly balance snapshots of previous credit cards that the applicant has with Home Credit.,Month of balance relative to application date (-1 means the freshest balance date)
237,CC_MONTHS_BALANCE_MEAN,Monthly balance snapshots of previous credit cards that the applicant has with Home Credit.,Month of balance relative to application date (-1 means the freshest balance date)
238,CC_MONTHS_BALANCE_SUM,Monthly balance snapshots of previous credit cards that the applicant has with Home Credit.,Month of balance relative to application date (-1 means the freshest balance date)
239,CC_MONTHS_BALANCE_VAR,Monthly balance snapshots of previous credit cards that the applicant has with Home Credit.,Month of balance relative to application date (-1 means the freshest balance date)
240,CC_AMT_BALANCE_MAX,Monthly balance snapshots of previous credit cards that the applicant has with Home Credit.,Balance during the month of previous credit
241,CC_AMT_BALANCE_MEAN,Monthly balance snapshots of previous credit cards that the applicant has with Home Credit.,Balance during the month of previous credit
242,CC_AMT_BALANCE_SUM,Monthly balance snapshots of previous credit cards that the applicant has with Home Credit.,Balance during the month of previous credit
243,CC_AMT_BALANCE_VAR,Monthly balance snapshots of previous credit cards that the applicant has with Home Credit.,Balance during the month of previous credit
244,CC_AMT_CREDIT_LIMIT_ACTUAL_MAX,Monthly balance snapshots of previous credit cards that the applicant has with Home Credit.,Credit card limit during the month of the previous credit
245,CC_AMT_CREDIT_LIMIT_ACTUAL_MEAN,Monthly balance snapshots of previous credit cards that the applicant has with Home Credit.,Credit card limit during the month of the previous credit
246,CC_AMT_CREDIT_LIMIT_ACTUAL_SUM,Monthly balance snapshots of previous credit cards that the applicant has with Home Credit.,Credit card limit during the month of the previous credit
247,CC_AMT_CREDIT_LIMIT_ACTUAL_VAR,Monthly balance snapshots of previous credit cards that the applicant has with Home Credit.,Credit card limit during the month of the previous credit
248,CC_AMT_DRAWINGS_ATM_CURRENT_MAX,Monthly balance snapshots of previous credit cards that the applicant has with Home Credit.,Amount drawing at ATM during the month of the previous credit
249,CC_AMT_DRAWINGS_ATM_CURRENT_MEAN,Monthly balance snapshots of previous credit cards that the applicant has with Home Credit.,Amount drawing at ATM during the month of the previous credit
250,CC_AMT_DRAWINGS_ATM_CURRENT_SUM,Monthly balance snapshots of previous credit cards that the applicant has with Home Credit.,Amount drawing at ATM during the month of the previous credit
251,CC_AMT_DRAWINGS_ATM_CURRENT_VAR,Monthly balance snapshots of previous credit cards that the applicant has with Home Credit.,Amount drawing at ATM during the month of the previous credit
252,CC_AMT_DRAWINGS_CURRENT_MAX,Monthly balance snapshots of previous credit cards that the applicant has with Home Credit.,Amount drawing during the month of the previous credit
253,CC_AMT_DRAWINGS_CURRENT_MEAN,Monthly balance snapshots of previous credit cards that the applicant has with Home Credit.,Amount drawing during the month of the previous credit
254,CC_AMT_DRAWINGS_CURRENT_SUM,Monthly balance snapshots of previous credit cards that the applicant has with Home Credit.,Amount drawing during the month of the previous credit
255,CC_AMT_DRAWINGS_CURRENT_VAR,Monthly balance snapshots of previous credit cards that the applicant has with Home Credit.,Amount drawing during the month of the previous credit
256,CC_AMT_DRAWINGS_OTHER_CURRENT_MAX,Monthly balance snapshots of previous credit cards that the applicant has with Home Credit.,Amount of other drawings during the month of the previous credit
257,CC_AMT_DRAWINGS_OTHER_CURRENT_MEAN,Monthly balance snapshots of previous credit cards that the applicant has with Home Credit.,Amount of other drawings during the month of the previous credit
258,CC_AMT_DRAWINGS_OTHER_CURRENT_SUM,Monthly balance snapshots of previous credit cards that the applicant has with Home Credit.,Amount of other drawings during the month of the previous credit
259,CC_AMT_DRAWINGS_OTHER_CURRENT_VAR,Monthly balance snapshots of previous credit cards that the applicant has with Home Credit.,Amount of other drawings during the month of the previous credit
260,CC_AMT_DRAWINGS_POS_CURRENT_MAX,Monthly balance snapshots of previous credit cards that the applicant has with Home Credit.,Amount drawing or buying goods during the month of the previous credit
261,CC_AMT_DRAWINGS_POS_CURRENT_MEAN,Monthly balance snapshots of previous credit cards that the applicant has with Home Credit.,Amount drawing or buying goods during the month of the previous credit
262,CC_AMT_DRAWINGS_POS_CURRENT_SUM,Monthly balance snapshots of previous credit cards that the applicant has with Home Credit.,Amount drawing or buying goods during the month of the previous credit
263,CC_AMT_DRAWINGS_POS_CURRENT_VAR,Monthly balance snapshots of previous credit cards that the applicant has with Home Credit.,Amount drawing or buying goods during the month of the previous credit
264,CC_AMT_INST_MIN_REGULARITY_MAX,Monthly balance snapshots of previous credit cards that the applicant has with Home Credit.,Minimal installment for this month of the previous credit
265,CC_AMT_INST_MIN_REGULARITY_MEAN,Monthly balance snapshots of previous credit cards that the applicant has with Home Credit.,Minimal installment for this month of the previous credit
266,CC_AMT_INST_MIN_REGULARITY_SUM,Monthly balance snapshots of previous credit cards that the applicant has with Home Credit.,Minimal installment for this month of the previous credit
267,CC_AMT_INST_MIN_REGULARITY_VAR,Monthly balance snapshots of previous credit cards that the applicant has with Home Credit.,Minimal installment for this month of the previous credit
268,CC_AMT_PAYMENT_CURRENT_MAX,Monthly balance snapshots of previous credit cards that the applicant has with Home Credit.,What the client actually paid on previous credit on this installment
269,CC_AMT_PAYMENT_CURRENT_MEAN,Monthly balance snapshots of previous credit cards that the applicant has with Home Credit.,What the client actually paid on previous credit on this installment
270,CC_AMT_PAYMENT_CURRENT_SUM,Monthly balance snapshots of previous credit cards that the applicant has with Home Credit.,What the client actually paid on previous credit on this installment
271,CC_AMT_PAYMENT_CURRENT_VAR,Monthly balance snapshots of previous credit cards that the applicant has with Home Credit.,What the client actually paid on previous credit on this installment
272,CC_AMT_PAYMENT_TOTAL_CURRENT_MAX,Monthly balance snapshots of previous credit cards that the applicant has with Home Credit.,What the client actually paid on previous credit on this installment
273,CC_AMT_PAYMENT_TOTAL_CURRENT_MEAN,Monthly balance snapshots of previous credit cards that the applicant has with Home Credit.,What the client actually paid on previous credit on this installment
274,CC_AMT_PAYMENT_TOTAL_CURRENT_SUM,Monthly balance snapshots of previous credit cards that the applicant has with Home Credit.,What the client actually paid on previous credit on this installment
275,CC_AMT_PAYMENT_TOTAL_CURRENT_VAR,Monthly balance snapshots of previous credit cards that the applicant has with Home Credit.,What the client actually paid on previous credit on this installment
276,CC_AMT_RECEIVABLE_PRINCIPAL_MAX,Monthly balance snapshots of previous credit cards that the applicant has with Home Credit.,Amount receivable for principal on the previous credit
277,CC_AMT_RECEIVABLE_PRINCIPAL_MEAN,Monthly balance snapshots of previous credit cards that the applicant has with Home Credit.,Amount receivable for principal on the previous credit
278,CC_AMT_RECEIVABLE_PRINCIPAL_SUM,Monthly balance snapshots of previous credit cards that the applicant has with Home Credit.,Amount receivable for principal on the previous credit
279,CC_AMT_RECEIVABLE_PRINCIPAL_VAR,Monthly balance snapshots of previous credit cards that the applicant has with Home Credit.,Amount receivable for principal on the previous credit
280,CC_AMT_RECIVABLE_MAX,Monthly balance snapshots of previous credit cards that the applicant has with Home Credit.,Amount receivable on the previous credit
281,CC_AMT_RECIVABLE_MEAN,Monthly balance snapshots of previous credit cards that the applicant has with Home Credit.,Amount receivable on the previous credit
282,CC_AMT_RECIVABLE_SUM,Monthly balance snapshots of previous credit cards that the applicant has with Home Credit.,Amount receivable on the previous credit
283,CC_AMT_RECIVABLE_VAR,Monthly balance snapshots of previous credit cards that the applicant has with Home Credit.,Amount receivable on the previous credit
284,CC_AMT_TOTAL_RECEIVABLE_MAX,Monthly balance snapshots of previous credit cards that the applicant has with Home Credit.,Total amount receivable on the previous credit
285,CC_AMT_TOTAL_RECEIVABLE_MEAN,Monthly balance snapshots of previous credit cards that the applicant has with Home Credit.,Total amount receivable on the previous credit
286,CC_AMT_TOTAL_RECEIVABLE_SUM,Monthly balance snapshots of previous credit cards that the applicant has with Home Credit.,Total amount receivable on the previous credit
287,CC_AMT_TOTAL_RECEIVABLE_VAR,Monthly balance snapshots of previous credit cards that the applicant has with Home Credit.,Total amount receivable on the previous credit
288,CC_CNT_DRAWINGS_ATM_CURRENT_MAX,Monthly balance snapshots of previous credit cards that the applicant has with Home Credit.,Number of drawings at ATM during this month on the previous credit
289,CC_CNT_DRAWINGS_ATM_CURRENT_MEAN,Monthly balance snapshots of previous credit cards that the applicant has with Home Credit.,Number of drawings at ATM during this month on the previous credit
290,CC_CNT_DRAWINGS_ATM_CURRENT_SUM,Monthly balance snapshots of previous credit cards that the applicant has with Home Credit.,Number of drawings at ATM during this month on the previous credit
291,CC_CNT_DRAWINGS_ATM_CURRENT_VAR,Monthly balance snapshots of previous credit cards that the applicant has with Home Credit.,Number of drawings at ATM during this month on the previous credit
292,CC_CNT_DRAWINGS_CURRENT_MAX,Monthly balance snapshots of previous credit cards that the applicant has with Home Credit.,Number of drawings during this month on the previous credit
293,CC_CNT_DRAWINGS_CURRENT_MEAN,Monthly balance snapshots of previous credit cards that the applicant has with Home Credit.,Number of drawings during this month on the previous credit
294,CC_CNT_DRAWINGS_CURRENT_SUM,Monthly balance snapshots of previous credit cards that the applicant has with Home Credit.,Number of drawings during this month on the previous credit
295,CC_CNT_DRAWINGS_CURRENT_VAR,Monthly balance snapshots of previous credit cards that the applicant has with Home Credit.,Number of drawings during this month on the previous credit
296,CC_CNT_DRAWINGS_OTHER_CURRENT_MAX,Monthly balance snapshots of previous credit cards that the applicant has with Home Credit.,Number of other drawings during this month on the previous credit
297,CC_CNT_DRAWINGS_OTHER_CURRENT_MEAN,Monthly balance snapshots of previous credit cards that the applicant has with Home Credit.,Number of other drawings during this month on the previous credit
298,CC_CNT_DRAWINGS_OTHER_CURRENT_SUM,Monthly balance snapshots of previous credit cards that the applicant has with Home Credit.,Number of other drawings during this month on the previous credit
299,CC_CNT_DRAWINGS_OTHER_CURRENT_VAR,Monthly balance snapshots of previous credit cards that the applicant has with Home Credit.,Number of other drawings during this month on the previous credit
300,CC_CNT_DRAWINGS_POS_CURRENT_MAX,Monthly balance snapshots of previous credit cards that the applicant has with Home Credit.,Number of drawings for goods during this month on the previous credit
301,CC_CNT_DRAWINGS_POS_CURRENT_MEAN,Monthly balance snapshots of previous credit cards that the applicant has with Home Credit.,Number of drawings for goods during this month on the previous credit
302,CC_CNT_DRAWINGS_POS_CURRENT_SUM,Monthly balance snapshots of previous credit cards that the applicant has with Home Credit.,Number of drawings for goods during this month on the previous credit
303,CC_CNT_DRAWINGS_POS_CURRENT_VAR,Monthly balance snapshots of previous credit cards that the applicant has with Home Credit.,Number of drawings for goods during this month on the previous credit
304,CC_CNT_INSTALMENT_MATURE_CUM_MAX,Monthly balance snapshots of previous credit cards that the applicant has with Home Credit.,Number of paid installments on the previous credit
305,CC_CNT_INSTALMENT_MATURE_CUM_MEAN,Monthly balance snapshots of previous credit cards that the applicant has with Home Credit.,Number of paid installments on the previous credit
306,CC_CNT_INSTALMENT_MATURE_CUM_SUM,Monthly balance snapshots of previous credit cards that the applicant has with Home Credit.,Number of paid installments on the previous credit
307,CC_CNT_INSTALMENT_MATURE_CUM_VAR,Monthly balance snapshots of previous credit cards that the applicant has with Home Credit.,Number of paid installments on the previous credit
308,CC_SK_DPD_MAX,Monthly balance snapshots of previous credit cards that the applicant has with Home Credit.,DPD (days past due) during the month of previous credit
309,CC_SK_DPD_MEAN,Monthly balance snapshots of previous credit cards that the applicant has with Home Credit.,DPD (days past due) during the month of previous credit
310,CC_SK_DPD_SUM,Monthly balance snapshots of previous credit cards that the applicant has with Home Credit.,DPD (days past due) during the month of previous credit
311,CC_SK_DPD_VAR,Monthly balance snapshots of previous credit cards that the applicant has with Home Credit.,DPD (days past due) during the month of previous credit
312,CC_SK_DPD_DEF_MAX,Monthly balance snapshots of previous credit cards that the applicant has with Home Credit.,DPD during the month with tolerance (debts with low loan amounts are ignored) of the previous credit
313,CC_SK_DPD_DEF_MEAN,Monthly balance snapshots of previous credit cards that the applicant has with Home Credit.,DPD during the month with tolerance (debts with low loan amounts are ignored) of the previous credit
314,CC_SK_DPD_DEF_SUM,Monthly balance snapshots of previous credit cards that the applicant has with Home Credit.,DPD during the month with tolerance (debts with low loan amounts are ignored) of the previous credit
315,CC_SK_DPD_DEF_VAR,Monthly balance snapshots of previous credit cards that the applicant has with Home Credit.,DPD during the month with tolerance (debts with low loan amounts are ignored) of the previous credit
316,CC_COUNT,Monthly balance snapshots of previous credit cards that the applicant has with Home Credit.,DPD during the month with tolerance (debts with low loan amounts are ignored) of the previous credit
317,POS_MONTHS_BALANCE_MAX,Monthly balance snapshots of previous POS (point of sales) and cash loans that the applicant had with Home Credit.,Month of balance relative to application date (-1 means the freshest balance date)
318,POS_MONTHS_BALANCE_MEAN,Monthly balance snapshots of previous POS (point of sales) and cash loans that the applicant had with Home Credit.,Month of balance relative to application date (-1 means the freshest balance date)
319,POS_MONTHS_BALANCE_SIZE,Monthly balance snapshots of previous POS (point of sales) and cash loans that the applicant had with Home Credit.,Month of balance relative to application date (-1 means the freshest balance date)
320,POS_SK_DPD_MAX,Monthly balance snapshots of previous POS (point of sales) and cash loans that the applicant had with Home Credit.,DPD (days past due) during the month of previous credit
321,POS_SK_DPD_MEAN,Monthly balance snapshots of previous POS (point of sales) and cash loans that the applicant had with Home Credit.,DPD (days past due) during the month of previous credit
322,POS_SK_DPD_DEF_MAX,Monthly balance snapshots of previous POS (point of sales) and cash loans that the applicant had with Home Credit.,DPD during the month with tolerance (debts with low loan amounts are ignored) of the previous credit
323,POS_SK_DPD_DEF_MEAN,Monthly balance snapshots of previous POS (point of sales) and cash loans that the applicant had with Home Credit.,DPD during the month with tolerance (debts with low loan amounts are ignored) of the previous credit
324,POS_COUNT,Monthly balance snapshots of previous POS (point of sales) and cash loans that the applicant had with Home Credit.,DPD during the month with tolerance (debts with low loan amounts are ignored) of the previous credit
325,INSTAL_NUM_INSTALMENT_VERSION_NUNIQUE,Repayment history for the previously disbursed credits in Home Credit related to the loans of client.,Version of installment calendar (0 is for credit card) of previous credit. Change of installment version from month to month signifies that some parameter of payment calendar has changed
326,INSTAL_DAYS_ENTRY_PAYMENT_MAX,Repayment history for the previously disbursed credits in Home Credit related to the loans of client.,When was the installments of previous credit paid actually (relative to application date of current loan)
327,INSTAL_DAYS_ENTRY_PAYMENT_MEAN,Repayment history for the previously disbursed credits in Home Credit related to the loans of client.,When was the installments of previous credit paid actually (relative to application date of current loan)
328,INSTAL_DAYS_ENTRY_PAYMENT_SUM,Repayment history for the previously disbursed credits in Home Credit related to the loans of client.,When was the installments of previous credit paid actually (relative to application date of current loan)
329,INSTAL_AMT_INSTALMENT_MAX,Repayment history for the previously disbursed credits in Home Credit related to the loans of client.,What was the prescribed installment amount of previous credit on this installment
330,INSTAL_AMT_INSTALMENT_MEAN,Repayment history for the previously disbursed credits in Home Credit related to the loans of client.,What was the prescribed installment amount of previous credit on this installment
331,INSTAL_AMT_INSTALMENT_SUM,Repayment history for the previously disbursed credits in Home Credit related to the loans of client.,What was the prescribed installment amount of previous credit on this installment
332,INSTAL_AMT_PAYMENT_MIN,Repayment history for the previously disbursed credits in Home Credit related to the loans of client.,What the client actually paid on previous credit on this installment
333,INSTAL_AMT_PAYMENT_MAX,Repayment history for the previously disbursed credits in Home Credit related to the loans of client.,What the client actually paid on previous credit on this installment
334,INSTAL_AMT_PAYMENT_MEAN,Repayment history for the previously disbursed credits in Home Credit related to the loans of client.,What the client actually paid on previous credit on this installment
335,INSTAL_AMT_PAYMENT_SUM,Repayment history for the previously disbursed credits in Home Credit related to the loans of client.,What the client actually paid on previous credit on this installment
336,INSTAL_PAYMENT_PERC_MAX,Repayment history for the previously disbursed credits in Home Credit related to the loans of client.,What the client actually paid on previous credit on this installment
337,INSTAL_PAYMENT_PERC_MEAN,Repayment history for the previously disbursed credits in Home Credit related to the loans of client.,What the client actually paid on previous credit on this installment
338,INSTAL_PAYMENT_PERC_SUM,Repayment history for the previously disbursed credits in Home Credit related to the loans of client.,What the client actually paid on previous credit on this installment
339,INSTAL_PAYMENT_PERC_VAR,Repayment history for the previously disbursed credits in Home Credit related to the loans of client.,What the client actually paid on previous credit on this installment
340,INSTAL_PAYMENT_DIFF_MAX,Repayment history for the previously disbursed credits in Home Credit related to the loans of client.,What the client actually paid on previous credit on this installment
341,INSTAL_PAYMENT_DIFF_MEAN,Repayment history for the previously disbursed credits in Home Credit related to the loans of client.,What the client actually paid on previous credit on this installment
342,INSTAL_PAYMENT_DIFF_SUM,Repayment history for the previously disbursed credits in Home Credit related to the loans of client.,What the client actually paid on previous credit on this installment
343,INSTAL_PAYMENT_DIFF_VAR,Repayment history for the previously disbursed credits in Home Credit related to the loans of client.,What the client actually paid on previous credit on this installment
344,INSTAL_DPD_MAX,Repayment history for the previously disbursed credits in Home Credit related to the loans of client.,What the client actually paid on previous credit on this installment
345,INSTAL_DPD_MEAN,Repayment history for the previously disbursed credits in Home Credit related to the loans of client.,What the client actually paid on previous credit on this installment
346,INSTAL_DPD_SUM,Repayment history for the previously disbursed credits in Home Credit related to the loans of client.,What the client actually paid on previous credit on this installment
347,INSTAL_DBD_MAX,Repayment history for the previously disbursed credits in Home Credit related to the loans of client.,What the client actually paid on previous credit on this installment
348,INSTAL_DBD_MEAN,Repayment history for the previously disbursed credits in Home Credit related to the loans of client.,What the client actually paid on previous credit on this installment
349,INSTAL_DBD_SUM,Repayment history for the previously disbursed credits in Home Credit related to the loans of client.,What the client actually paid on previous credit on this installment
350,INSTAL_COUNT,Repayment history for the previously disbursed credits in Home Credit related to the loans of client.,What the client actually paid on previous credit on this installment
351,CURRENT_LOAN_EFFORT_RATE,This is the main table. Static data for all applications. One row represents one loan in our data sample.,What the client actually paid on previous credit on this installment
352,CURRENT_LOAN_LTV,This is the main table. Static data for all applications. One row represents one loan in our data sample.,What the client actually paid on previous credit on this installment
353,CURRENT_LOAN_INCOME_CREDIT_PERC,This is the main table. Static data for all applications. One row represents one loan in our data sample.,What the client actually paid on previous credit on this installment
354,CURRENT_LOAN_PAYMENT_RATE,This is the main table. Static data for all applications. One row represents one loan in our data sample.,What the client actually paid on previous credit on this installment
355,TOTAL_AMT_ANNUITY,This is the main table. Static data for all applications. One row represents one loan in our data sample.,Loan annuity
356,TOTAL_AMT_CREDIT,This is the main table. Static data for all applications. One row represents one loan in our data sample.,Credit amount of the loan
